"Genus","Mean_RA","Prevalence"
"Parafannyhessea",3.63079806613037,96.2264150943396
"Streptococcus",3.45922733815865,62.2641509433962
"Corynebacterium",1.43170388097238,94.9685534591195
"Afipia",1.00893800066798,69.811320754717
"Ralstonia",0.977860997036208,79.559748427673
"Psychrobacter",0.86571508463123,80.188679245283
"Bosea",0.862241223248845,72.7762803234501
"Mannheimia",0.837700483824868,37.7358490566038
"Leptospira",0.680310646931946,69.811320754717
"Pseudoclavibacter",0.614681176818293,84.9056603773585
"Brachybacterium",0.608467413210299,98.1132075471698
"Halopseudomonas",0.591452201256873,100
"Alteriqipengyuania",0.56154545393556,77.3584905660377
"Klebsiella",0.507448539048204,79.2452830188679
"Gulosibacter",0.459899335951229,96.2264150943396
"Rhodoplanes",0.422123828789636,69.811320754717
"Alistipes",0.421004942383016,79.2452830188679
"Denitrificimonas",0.413277130597842,66.0377358490566
"Acinetobacter",0.388539308283732,62.8930817610063
"Rothia",0.356014639519205,50.9433962264151
"Bradyrhizobium",0.354693065806467,63.6363636363636
"Phocaeicola",0.352186694705066,86.7924528301887
"Atopobium",0.341392994159011,84.9056603773585
"Akkermansia",0.337386282664417,90.5660377358491
"Luteimonas",0.328616388590798,100
"Nakamurella",0.326724618440479,94.3396226415094
"Microbacterium",0.296429540185449,80.4436511983682
"Neisseria",0.275467493410062,86.7924528301887
"Dermacoccus",0.271725693036324,88.6792452830189
"Bifidobacterium",0.222409386060803,74.3396226415094
